@RELATION shapes
@ATTRIBUTE shape1 integer
@ATTRIBUTE bb_x1_1 REAL
@ATTRIBUTE bb_y1_1 REAL
@ATTRIBUTE bb_x2_1 REAL
@ATTRIBUTE bb_y2_1 REAL

@ATTRIBUTE shape2 integer
@ATTRIBUTE bb_x1_2 REAL
@ATTRIBUTE bb_y1_2 REAL
@ATTRIBUTE bb_x2_2 REAL
@ATTRIBUTE bb_y2_2 REAL

@ATTRIBUTE shape3 integer
@ATTRIBUTE bb_x1_3 REAL
@ATTRIBUTE bb_y1_3 REAL
@ATTRIBUTE bb_x2_3 REAL
@ATTRIBUTE bb_y2_3 REAL

@ATTRIBUTE shape4 integer
@ATTRIBUTE bb_x1_4 REAL
@ATTRIBUTE bb_y1_4 REAL
@ATTRIBUTE bb_x2_4 REAL
@ATTRIBUTE bb_y2_4 REAL

@ATTRIBUTE magnitude_1 REAL
@ATTRIBUTE angle_1 REAL
@ATTRIBUTE magnitude_2 REAL
@ATTRIBUTE angle_2 REAL
@ATTRIBUTE magnitude_3 REAL
@ATTRIBUTE angle_3 REAL
@ATTRIBUTE magnitude_4 REAL
@ATTRIBUTE angle_4 REAL

@ATTRIBUTE class {don,for,mug,pla,spo}
@DATA
2,22,18,101,120,2,44,38,87,87,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.732137494637012,0.7378150601204649,0,0,0.0,0.0,don
2,31,21,96,92,2,88,61,121,99,2,35,71,91,108,0,0,0,0,0,0.0,0.0,69.63476143421474,0.6119024344346666,53.9351462406472,-0.1864869016672168,0,0,don
2,23,14,107,118,2,46,37,89,87,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.526911934581186,0.7853981633974483,0,0,0.0,0.0,don
3,59,27,68,128,3,58,15,70,47,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.041594578792296,1.4876550949064553,0,0,0.0,0.0,for
3,29,3,104,106,3,75,13,103,48,3,25,49,63,112,0,0,0,0,0,0.0,0.0,47.07440918375928,0.2140606835638215,61.61168720299745,-0.6240230529767569,0,0,for
3,46,48,113,101,3,75,69,118,97,3,9,26,42,58,3,26,40,77,90,0.0,0.0,35.805027579936315,0.6267429012110469,78.77182237323191,0.5774396161445141,22.02271554554524,0.6889243882148613,for
3,36,27,112,82,3,20,65,61,97,0,0,0,0,0,0,0,0,0,0,0.0,0.0,41.23105625617661,-1.1722738811284763,0,0,0.0,0.0,for
3,14,25,103,110,3,11,12,38,49,3,61,54,113,109,0,0,0,0,0,0.0,0.0,13.341664064126334,1.3439974787410107,65.29931086925804,0.6986598247214632,0,0,for
3,64,54,109,106,3,33,32,98,114,3,19,28,50,65,0,0,0,0,0,0.0,0.0,38.01315561749642,0.6171913915403622,14.560219778561036,0.27829965900511133,0,0,for
3,22,26,85,100,3,50,44,124,96,3,87,75,128,101,3,2,28,53,61,0.0,0.0,33.28663395418648,0.5713374798336268,48.27007354458868,0.6973907898697076,97.12878049270464,0.5050985070589973,for
3,22,35,86,93,3,52,35,108,75,3,24,55,52,87,0,0,0,0,0,0.0,0.0,30.0,-0.0,34.40930106817051,-0.6202494859828215,0,0,for
3,13,40,100,95,3,87,29,128,67,0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.81310045707235,-0.1475680713139948,0,0,0.0,0.0,for
2,11,17,104,111,2,92,52,123,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,88.23831367382311,0.4078679679739101,0,0,0.0,0.0,mug
2,0,21,128,128,2,78,34,123,81,2,87,70,128,124,0,0,0,0,0,0.0,0.0,79.07591289387686,0.16514867741462683,37.107950630558946,1.3258176636680326,0,0,mug
2,28,47,105,114,2,10,58,40,97,1,45,48,92,108,0,0,0,0,0,0.0,0.0,21.095023109728988,-0.5485494024505281,36.40054944640259,-0.27829965900511133,0,0,mug
2,7,21,119,128,1,84,37,113,91,1,30,27,101,109,0,0,0,0,0,0.0,0.0,78.64477096412705,0.2048767170371085,54.91812087098393,0.18311081726248413,0,0,mug
2,2,26,94,114,2,85,32,119,89,2,5,13,92,26,0,0,0,0,0,0.0,0.0,83.21658488546619,0.07216362895965758,82.22530024268686,0.2331798006468164,0,0,mug
2,14,43,128,118,2,46,83,114,110,1,30,38,88,113,0,0,0,0,0,0.0,0.0,51.22499389946279,0.8960553845713439,47.75981574503821,1.2291808361470895,0,0,mug
1,21,29,83,111,2,5,41,128,115,2,23,92,90,118,0,0,0,0,0,0.0,0.0,20.0,-0.6435011087932844,54.08326913195984,1.231503712340852,0,0,mug
2,28,28,89,103,2,33,28,87,53,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,-0.0,0,0,0.0,0.0,mug
1,22,27,82,109,2,80,28,123,91,2,9,23,91,122,0,0,0,0,0,0.0,0.0,58.008620049092706,0.017239671194529696,71.17583859709698,0.07030646411862447,0,0,mug
2,15,40,110,109,2,28,84,93,101,1,44,34,110,96,0,0,0,0,0,0.0,0.0,45.880278987817846,1.2835148733977624,52.49761899362675,-1.2610933822524404,0,0,mug
2,1,22,96,114,2,85,30,123,86,0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.38009243891595,0.09495170634275632,0,0,0.0,0.0,mug
2,25,39,102,128,2,43,82,80,115,0,0,0,0,0,0,0,0,0,0,0.0,0.0,46.61544808322666,1.1743550435764554,0,0,0.0,0.0,mug
2,21,30,94,104,3,27,53,40,83,2,23,57,49,88,0,0,0,0,0,0.0,0.0,23.769728648009426,1.3156139361740782,5.656854249492381,-0.7853981633974483,0,0,mug
2,0,18,128,118,2,68,40,114,99,2,0,19,92,52,2,10,62,79,115,0.0,0.0,71.47027354082255,0.3129012278803845,71.16881339463234,0.2995319890699231,44.14748010928823,1.3422996875030344,mug
2,3,22,101,118,2,81,49,127,87,2,3,10,96,49,0,0,0,0,0,0.0,0.0,82.54089895318563,0.3332443011116727,87.20665112249179,0.4636476090008061,0,0,mug
3,85,58,116,69,3,12,58,71,66,0,0,0,0,0,0,0,0,0,0,0.0,0.0,73.0,0.0,0,0,0.0,0.0,for
3,30,43,86,94,3,76,34,99,57,0,0,0,0,0,0,0,0,0,0,0.0,0.0,46.87216658103186,-0.19321148384780604,0,0,0.0,0.0,for
3,33,27,113,106,3,72,64,114,108,3,13,16,51,56,0,0,0,0,0,0.0,0.0,53.75872022286245,0.7590884461445261,76.05918747922567,0.6829543098903239,0,0,for
3,12,41,95,106,3,11,72,51,103,3,84,33,119,61,0,0,0,0,0,0.0,0.0,31.016124838541646,-1.5385494443596428,82.76472678623425,-0.4906680581880709,0,0,for
3,53,27,69,128,3,58,1,72,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.476404589747453,-1.380808038876181,0,0,0.0,0.0,for
3,39,40,100,76,3,34,41,54,59,3,37,47,75,65,0,0,0,0,0,0.0,0.0,5.0990195135927845,-0.19739555984988078,6.708203932499369,1.1071487177940904,0,0,for
3,42,57,117,101,3,13,43,42,82,3,86,74,121,97,3,41,63,82,86,0.0,0.0,32.202484376209235,0.4497596130698391,79.30952023559341,0.4015805401088795,46.32493928760188,0.23974310887045658,for
3,57,9,71,128,3,56,0,72,46,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.055385138137417,1.460139105621001,0,0.0,0.0,0.0,for
3,35,35,102,112,3,71,71,103,108,3,21,24,50,56,0,0,0,0,0,0.0,0.0,50.91168824543142,0.7853981633974483,68.62215385719105,0.7544801838344056,0,0,for
3,67,63,115,119,3,89,90,115,122,3,54,49,94,100,3,1,6,106,114,0.0,0.0,34.828149534535996,0.8870870151605253,53.907327887774215,0.8641821243865921,68.24954212300622,0.6816058229404055,for
2,28,27,103,107,1,36,33,84,101,2,87,38,114,89,0,0,0,0,0,0.0,0.0,10.0,0.6435011087932844,51.24451190127583,0.09772690735871872,0,0,mug
2,16,27,116,113,2,80,47,127,101,0,0,0,0,0,0,0,0,0,0,0.0,0.0,67.05221845696084,0.3028848683749714,0,0,0.0,0.0,mug
2,0,25,98,116,2,77,19,123,92,0,0,0,0,0,0,0,0,0,0,0.0,0.0,77.23341245859851,-0.07776493960273234,0,0,0.0,0.0,mug
2,1,36,128,121,1,28,23,116,104,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.966648127543394,-0.4487233440107211,0,0,0.0,0.0,mug
2,0,41,126,119,2,18,90,87,120,2,69,32,124,85,0,0,0,0,0,0.0,0.0,52.20153254455275,1.2187520124794793,77.23341245859851,-0.8495302783988798,0,0,mug
2,33,39,86,96,2,38,86,80,96,0,0,0,0,0,0,0,0,0,0,0.0,0.0,47.265209192385896,1.4648119688052967,0,0,0.0,0.0,mug
2,30,34,97,103,1,35,36,87,93,3,91,44,106,82,0,0,0,0,0,0.0,0.0,5.385164807134504,0.3805063771123649,56.568542494923804,0.1418970546041639,0,0,mug
2,77,42,114,93,2,12,20,86,120,0,0,0,0,0,0,0,0,0,0,0.0,0.0,68.62215385719105,0.32635881670676264,0,0,0.0,0.0,mug
2,13,25,106,106,2,83,31,119,95,1,24,23,91,106,0,0,0,0,0,0.0,0.0,70.25667228100119,0.08550529367820464,59.53990258641679,0.1347712844777311,0,0,mug
1,46,30,83,97,1,80,30,95,70,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.0,-0.0,0,0,0.0,0.0,mug
2,8,20,104,118,2,76,23,122,99,1,20,28,80,100,0,0,0,0,0,0.0,0.0,68.06614430096654,0.04408905739807185,56.22277118748239,-0.08904958263449779,0,0,mug
2,16,48,102,101,2,85,57,120,87,0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.58448102845921,0.1297025371559121,0,0,0.0,0.0,mug
3,59,60,69,124,3,58,41,72,59,3,59,41,68,48,0,0,0,0,0,0.0,0.0,19.026297590440446,1.5182132651839548,1.0,-0.0,0,0,for
3,56,31,71,128,3,57,14,72,64,3,59,36,68,56,0,0,0,0,0,0.0,0.0,17.029386365926403,-1.512040504079174,22.090722034374522,1.4801364395941514,0,0,for
3,55,0,72,128,2,54,5,78,43,3,57,0,73,43,0,0,0,0,0,0.0,0.0,5.0990195135927845,-1.373400766945016,5.830951894845301,-1.0303768265243125,0,0.0,for
3,64,56,121,120,3,9,16,126,128,3,8,8,51,59,3,90,85,124,120,0.0,0.0,68.00735254367721,0.628796286415433,8.06225774829855,1.446441332248135,112.48555462813881,0.7539619820411739,for
3,21,21,70,80,3,76,77,109,107,3,35,32,99,103,3,22,24,51,49,0.0,0.0,78.49203781276162,0.7944069286878652,60.876925020897694,0.8318762947484513,15.264337522473747,0.5516549825285469,for
3,15,37,93,114,3,81,22,109,69,3,14,75,58,106,0,0,0,0,0,0.0,0.0,67.68308503607086,-0.223476601140633,85.42833253669417,-0.6692565365174581,0,0,for
3,38,37,106,115,3,6,7,35,46,3,78,69,124,112,0,0,0,0,0,0.0,0.0,43.86342439892262,0.7531512809621944,95.01578816175763,0.7109093731835666,0,0,for
3,58,23,71,128,3,56,3,71,44,1,51,7,72,30,3,54,31,72,44,0.0,0.0,20.09975124224178,1.4711276743037347,6.4031242374328485,-0.6747409422235527,24.186773244895647,1.446441332248135,for
3,33,18,93,107,3,81,16,107,51,3,116,1,127,10,0,0,0,0,0,0.0,0.0,48.041648597857254,-0.04164257909858842,38.07886552931954,-0.4048917862850834,0,0,for
3,81,15,118,57,3,17,20,99,104,3,11,56,60,111,0,0,0,0,0,0.0,0.0,64.19501538281614,-0.0779666338315423,36.49657518178932,-1.4056476493802699,0,0,for
3,51,47,115,110,3,10,14,41,52,3,6,20,79,96,3,80,77,115,108,0.0,0.0,52.630789467763066,0.6777082925646276,7.211102550927978,-0.982793723247329,93.40770846134703,0.6563483676631917,for
3,54,25,68,128,3,56,0,73,57,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.079872407968907,-1.4909663410826592,0,0.0,0.0,0.0,for
2,13,26,114,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,20,8,111,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
1,17,49,104,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,19,36,107,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,1,56,119,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,19,14,110,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,22,8,108,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,13,8,113,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,23,82,111,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,23,10,109,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,26,13,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,18,5,118,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,7,9,117,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,38,24,95,107,3,26,86,52,120,0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.150613615387776,-1.379611867197882,80,0,0.0,0.0,pla
2,28,18,100,103,3,15,47,49,110,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.78049716414141,-1.1493771199070923,0,0,0,0,pla
2,32,21,93,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,5,15,116,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,36,8,95,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,27,19,103,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,9,16,109,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,11,11,106,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,19,16,107,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,16,9,110,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,4,33,124,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,18,41,106,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,30,49,101,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,17,10,108,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,11,9,108,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,15,30,110,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,28,23,102,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,4,9,113,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,19,52,119,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,pla
2,1,92,50,127,3,34,11,108,108,0,0,0,0,0,0,0,0,0,0,0.0,0.0,87.46427842267951,-1.1839206090638685,0,0,0.0,0.0,spo
3,40,41,111,110,3,8,17,41,57,2,1,17,44,61,0,0,0,0,0,0.0,0.0,40.0,0.6435011087932844,7.0,0.0,0,0,spo
3,54,44,109,115,2,4,19,56,50,3,16,23,91,110,0,0,0,0,0,0.0,0.0,55.90169943749474,0.4636476090008061,12.649110640673518,0.3217505543966422,0,0,spo
3,34,32,94,124,2,4,49,123,128,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.48187929913333,-0.515549007458979,0,0,0.0,0.0,spo
2,10,82,51,123,3,38,24,104,97,3,10,56,53,115,0,0,0,0,0,0.0,0.0,64.40496875241847,-1.1210367137250576,42.5205832509386,-0.851966327173272,0,0,spo
2,4,82,54,125,3,34,25,105,99,2,0,27,108,124,3,12,33,70,118,0.0,0.0,64.41273166075166,-1.0863183977578734,34.058772731852805,-0.05875582271572269,13.416407864998739,0.4636476090008061,spo
2,10,78,53,122,3,52,12,106,81,2,1,10,116,119,0,0,0,0,0,0.0,0.0,78.23042886243178,-1.0040671092713902,51.03920062069938,0.03919560192705471,0,0,spo
2,77,23,122,54,3,12,45,69,105,0,0,0,0,0,0,0,0,0,0,0.0,0.0,68.62215385719105,-0.32635881670676264,0,0,0.0,0.0,spo
3,56,9,74,128,2,52,13,76,38,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.656854249492381,-0.7853981633974483,0,0,0.0,0.0,spo
3,10,38,85,119,3,84,3,114,75,2,79,8,128,62,0,0,0,0,0,0.0,0.0,81.85963596303125,-0.4417931655174437,7.0710678118654755,-0.7853981633974483,0,0,spo
2,42,4,81,47,3,53,35,70,125,3,54,89,71,120,0,0,0,0,0,0.0,0.0,32.89376840679705,1.2298173732985473,54.00925846556311,1.5522799247268875,0,01,spo
3,54,23,73,128,2,51,13,77,49,0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.44030650891055,1.2793395323170296,0,0,0.0,0.0,spo
3,55,8,74,128,2,50,8,80,41,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0,0,0.0,0.0,spo
2,9,82,53,123,3,54,9,111,83,2,4,10,119,118,0,0,0,0,0,0.0,0.0,85.75546629807339,-1.018377402474551,50.00999900019995,-0.019997333973150535,0,0,spo
2,72,44,103,96,3,22,52,58,73,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.635955604688654,-0.1586552621864014,0,0,0.0,0.0,spo
3,32,55,61,74,3,77,46,98,87,2,71,46,96,85,0,0,0,0,0,0.0,0.0,45.89117562233506,-0.19739555984988078,6.0,0.0,0,0,spo
2,78,64,124,103,3,10,27,72,62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,77.41446893184762,0.4983157942103058,0,0,0.0,0.0,spo
2,22,47,53,82,3,58,55,109,69,0,0,0,0,0,0,0,0,0,0,0.0,0.0,36.87817782917155,0.21866894587394195,0,0,0.0,0.0,spo
2,0,76,54,111,3,39,27,104,94,3,3,56,58,105,3,11,79,43,104,0.0,0.0,62.625873247404705,-0.8985491449879328,46.22769732530488,-0.6781193077490456,24.351591323771842,1.236059489478082,spo
3,28,20,95,104,3,19,55,60,102,2,14,79,59,109,0,0,0,0,0,0.0,0.0,36.138621999185304,-1.31910635503671,24.515301344262525,-1.3654009376051293,0,0,spo
3,37,30,96,85,2,9,71,52,99,0,0,0,0,0,0,0,0,0,0,0.0,0.0,49.64876634922564,-0.9716210038085897,0,0,0.0,0.0,spo
3,50,23,67,128,2,42,6,79,35,3,50,11,80,64,0,0,0,0,0,0.0,0.0,18.788294228055936,1.1309537439791604,9.433981132056603,0.5585993153435624,0,0,spo
3,16,27,96,98,3,56,51,113,106,3,7,21,46,56,0,0,0,0,0,0.0,0.0,46.647615158762406,0.5404195002705842,57.4543296888929,0.5493744847715509,0,0,spo
3,53,44,99,104,3,25,27,82,94,3,26,28,54,63,0,0,0,0,0,0.0,0.0,32.7566787083184,0.5456550545269917,1.4142135623730951,0.7853981633974483,0,0,spo
2,74,81,128,125,3,4,5,67,78,3,3,8,38,43,0,0,0,0,0,0.0,0.0,103.32473082471591,0.8264709419879024,3.1622776601683795,-1.2490457723982544,0,0,spo
3,28,25,78,128,2,63,12,103,45,0,0,0,0,0,0,0,0,0,0,0.0,0.0,37.33630940518894,-0.3556358843007598,0,0,0.0,0.0,spo
